ingredient,allergen,category,severity
fish sauce powder (fermented anchovies (an,None,Unknown,Safe
reduced fat queso quesadil,None,Unknown,Safe
titanium dry milk,None,Unknown,Safe
ife,None,Unknown,Safe
graines de tournesol sel,None,Unknown,Safe
poivron rouge et poivron jaune 3%,None,Unknown,Safe
huile de tournesol 26,None,Unknown,Safe
organic chicken flavor (contains sea salt),None,Unknown,Safe
graisse de palmiste,None,Unknown,Safe
48% sauce au caramel (sirop de sucre inverti,None,Unknown,Safe
parcially hydrogenated soy oil,None,Unknown,Safe
artichokes,None,Unknown,Safe
acesulfamo k,None,Unknown,Safe
7096',None,Unknown,Safe
enzymes) buttermi,None,Unknown,Safe
precooked whole grain long rice,None,Unknown,Safe
sunflower oil or safflower oil,None,Unknown,Safe
organic live vinegar (apple cider,None,Unknown,Safe
roasted green peppers,None,Unknown,Safe
natural citrus flavor,None,Unknown,Safe
calcium disodium edta (used to,None,Unknown,Safe
chocolat en poudre 33% (sucre,None,Unknown,Safe
pure ground vanilla beans,None,Unknown,Safe
hibiscus,None,Unknown,Safe
ground vanilla beans,None,Unknown,Safe
farine fleur,None,Unknown,Safe
gingembre coriandre,None,Unknown,Safe
blanc d'geuf,None,Unknown,Safe
potassium sorbate (preservative,None,Unknown,Safe
sugar paprika (as color),None,Unknown,Safe
cultured organic unbleached wheat flour,None,Unknown,Safe
maltodestine,None,Unknown,Safe
paprika (as coloring),None,Unknown,Safe
behenyl alcohol,None,Unknown,Safe
produit de boulangerie - conserver en lieu sec et frais,None,Unknown,Safe
calcium silicate and calcium stearate (anticaking agents),None,Unknown,Safe
stabilisant e340,None,Unknown,Safe
coprylic/copric triglyceride,None,Unknown,Safe
poudre de moringa (3%),None,Unknown,Safe
organic whole grain emmer wheat (triticum dicoccum),None,Unknown,Safe
guimauve 45 % (sirop de glucose,None,Unknown,Safe
grain de mdis,None,Unknown,Safe
ghost peppers,None,Unknown,Safe
real bacon (curred with water,None,Unknown,Safe
(50 %),None,Unknown,Safe
sauce bolognaise 60% (tomates,None,Unknown,Safe
coulis de tomates 65%,None,Unknown,Safe
vin rouge chianti docg 18%,None,Unknown,Safe
gebrande koffiebonen,None,Unknown,Safe
smoke-flavored provolone cheese (cultured pasteurized milk,None,Unknown,Safe
nolsettes,None,Unknown,Safe
safflower or canola oil),None,Unknown,Safe
soy lecithin (an emulsifer),None,Unknown,Safe
natural flavors (blackberry),None,Unknown,Safe
poudre de soja,None,Unknown,Safe
litchi 4,None,Unknown,Safe
passata de tomate,None,Unknown,Safe
tranches d'oranges confites 65 % (orange,None,Unknown,Safe
vegetable juice concentrates (onion,None,Unknown,Safe
organic tomatoes 60%,None,Unknown,Safe
dextrose tetras,None,Unknown,Safe
salt beet powder (color),None,Unknown,Safe
serac grec 100% au lait de brebis,None,Unknown,Safe
gras de porc fondu,None,Unknown,Safe
wholewheat flour (30%),None,Unknown,Safe
stabilizers (dipotassium phosphate,None,Unknown,Safe
frutta a guscio,None,Unknown,Safe
contains 2% or less of lemongrass puree,None,Unknown,Safe
spice and herb (contains paprika for color),None,Unknown,Safe
petit pois doux 20,None,Unknown,Safe
cannelle et cumin),None,Unknown,Safe
aromates 0,None,Unknown,Safe
aromas),None,Unknown,Safe
potassium sorbate added to protect freshness,None,Unknown,Safe
dehydrated vegetables (parsley,None,Unknown,Safe
instant,None,Unknown,Safe
whole oat flour  sugar,None,Unknown,Safe
sauce powder (red pepper,None,Unknown,Safe
spices (with natural color),None,Unknown,Safe
wheat dextrose),None,Unknown,Safe
morceaux de chocolat 27,None,Unknown,Safe
potiron 40%,None,Unknown,Safe
vaiores medios por valortnlrgttlco malta de cebada,None,Unknown,Safe
bi (tiamina)s k,None,Unknown,Safe
emulsionante lecitine di girasole,None,Unknown,Safe
contains one or more of the following (monoglycerides,None,Unknown,Safe
dont cassis 13%),None,Unknown,Safe
guarana extracts,None,Unknown,Safe
courgette verte 44,None,Unknown,Safe
(natural and artificial flavor,None,Unknown,Safe
cultured pasteurised skim milk,None,Unknown,Safe
en proportion variables),None,Unknown,Safe
4 % (cerises,None,Unknown,Safe
sodium chloride (electrolyte),None,Unknown,Safe
chocolat superieur au lait 37,None,Unknown,Safe
pommes de terre 42 %,None,Unknown,Safe
edulcorants (xylitol (32%),None,Unknown,Safe
peeled mandarin orange segments,None,Unknown,Safe
chopped bell pepper,None,Unknown,Safe
poudre de pomme 9 %,None,Unknown,Safe
l-cystene),None,Unknown,Safe
pommes (99,None,Unknown,Safe
weizenfaser,None,Unknown,Safe
lattosio e protelne del latte,None,Unknown,Safe
concentrate orange juice and other natural flavors,None,Unknown,Safe
crushed beans,None,Unknown,Safe
spies,None,Unknown,Safe
premium coca,None,Unknown,Safe
haricots rouges 8%,None,Unknown,Safe
sodium bisulfite (protect freshness),None,Unknown,Safe
emulsifier (mono- and diglycerides with mixed tocopherols,None,Unknown,Safe
kokosnuss,None,Unknown,Safe
oreille de judas,None,Unknown,Safe
bourbon (with salt),None,Unknown,Safe
yellow 5) xanthan gum,None,Unknown,Safe
8% (fromage blanc 5,None,Unknown,Safe
proprietary nutrient blend (calcium lactate,None,Unknown,Safe
dried chilis),None,Unknown,Safe
cantaloupe powder,None,Unknown,Safe
dex- trose,None,Unknown,Safe
propylene glyco,None,Unknown,Safe
chicken broth (salt,None,Unknown,Safe
reis gemahlen,None,Unknown,Safe
huile d'olive vierge extra origine espagne 39 %,None,Unknown,Safe
masno i vezivno tkivo,None,Unknown,Safe
sodium alginate and xanthan gum,None,Unknown,Safe
vitamin e (d-alpha tocopheryl acetate) 15 iu,None,Unknown,Safe
zuccherol,None,Unknown,Safe
petits flocons d'avoine,None,Unknown,Safe
moutarde de dijon 15% (eau,None,Unknown,Safe
imitation crab meat (water,None,Unknown,Safe
lait entier en poudre (origine ue),None,Unknown,Safe
root beer flavor,None,Unknown,Safe
cured water,None,Unknown,Safe
stabilisants (farine de graisse de caroube,None,Unknown,Safe
curry rouge 1,None,Unknown,Safe
peanut oil or a blend of peanut oil and canola,None,Unknown,Safe
poudre de mi'el fibres solubles (fructo-otigosaccharides),None,Unknown,Safe
colorant (el 60b),None,Unknown,Safe
19 % chocolat au lait (sucre,None,Unknown,Safe
bifidus (b longum) 0,None,Unknown,Safe
mangues 58 % pommes,None,Unknown,Safe
chou rouge 69% (allemagne),None,Unknown,Safe
fromage blanc (40 %),None,Unknown,Safe
avocado (avocado sugar,None,Unknown,Safe
puffed white rice,None,Unknown,Safe
natural and artificial flavor (extracts of blue crab,None,Unknown,Safe
white cheddar cheese (cultured pasteurized milk,None,Unknown,Safe
free-range turkey,None,Unknown,Safe
cream (from milk),None,Unknown,Safe
monoglycerides sugar,None,Unknown,Safe
white degerminated corn meal wheat germ,None,Unknown,Safe
artificial almond flavor,None,Unknown,Safe
peanut and/or sunflower oil),None,Unknown,Safe
sugar free dark chocolate flavored coating (unsweetened chocolate,None,Unknown,Safe
pike eel,None,Unknown,Safe
enriched elbow macaroni (semolina wheat flour,None,Unknown,Safe
organic palm sugar (from sustainable farms),None,Unknown,Safe
prepared pinto and great northern beans,None,Unknown,Safe
emulsifier (soya leoithin),None,Unknown,Safe
poudre de chocolat,None,Unknown,Safe
powdered cellulose added to prevent caking),None,Unknown,Safe
crab base (clams and clam stock,None,Unknown,Safe
yeast extract extract,None,Unknown,Safe
aged balsamic,None,Unknown,Safe
malt figs,None,Unknown,Safe
soy lecithin added as an,None,Unknown,Safe
zinc oxide (source ifzinc),None,Unknown,Safe
cocoa powder (cocoa solids 12%),None,Unknown,Safe
huile vierge huile d'olive,None,Unknown,Safe
ketchup (tomato puree,None,Unknown,Safe
partially hydrogenated sotbean oil,None,Unknown,Safe
abricots 30%,None,Unknown,Safe
tomate (12%),None,Unknown,Safe
galacto-oligosaccharides 3%,None,Unknown,Safe
emmentaler cheese (15%) (pasteurized cow's milk,None,Unknown,Safe
aturel,None,Unknown,Safe
citrus green beans (green beans,None,Unknown,Safe
100% xylit,None,Unknown,Safe
organic soy butter (organic roasted soybeans,None,Unknown,Safe
9% de estanoles vegetales),None,Unknown,Safe
noix de cajou crues biologiques,None,Unknown,Safe
concentrated onion,None,Unknown,Safe
e (e459),None,Unknown,Safe
freeze-dried fuji apples,None,Unknown,Safe
tortilla (unbleached wheat flour (wheat,None,Unknown,Safe
feuilles d'oranger 24%,None,Unknown,Safe
nitrate de potassium ferments lactiques boyau de porc,None,Unknown,Safe
whole gain rice,None,Unknown,Safe
low moisture part-skim mozzarella (pasteurized part skim milk,None,Unknown,Safe
gelling (pectins),None,Unknown,Safe
colored with vegetable extracts (red cabbage,None,Unknown,Safe
butter buds,None,Unknown,Safe
malt (contains gluten from barley),None,Unknown,Safe
moutarde (3,None,Unknown,Safe
tofu 49 % (eau,None,Unknown,Safe
morceaux d'olives noires d'importation (8 %),None,Unknown,Safe
gluten oe ble,None,Unknown,Safe
haferflocken (21 %),None,Unknown,Safe
4%) de plantes (menthe,None,Unknown,Safe
arroz cocido integral (97%),None,Unknown,Safe
potassium (hlotide,None,Unknown,Safe
frystorkad apelsin (koncentrerad apeisin- juice,None,Unknown,Safe
dark chocolate with 73% of cocoa min (cocoa solids,None,Unknown,Safe
6 g 12,None,Unknown,Safe
mayonnaise (expeller non gmo canola oil,None,Unknown,Safe
flocons d'avoine (41%),None,Unknown,Safe
powdered cellulose and corn starch (added to prevent cakin,None,Unknown,Safe
morceaux de pomme 5% (avec conservateur (e220 (sulfite))),None,Unknown,Safe
thai jasmine rice 100%,None,Unknown,Safe
na ontdooiit lg niet opnieuw gnvrle'c,None,Unknown,Safe
soya bean oil 28%,None,Unknown,Safe
99%),None,Unknown,Safe
citron 39%,None,Unknown,Safe
stabilizer acacia gum,None,Unknown,Safe
100% clarified butter,None,Unknown,Safe
tomato basil,None,Unknown,Safe
chocolat noir 20,None,Unknown,Safe
leche entera en de (de de leche en leche en en materia soja),None,Unknown,Safe
ricotta (11%),None,Unknown,Safe
pommes de terre (france) 59 %,None,Unknown,Safe
organic dark chocolate 57% (organic chocolate liquor,None,Unknown,Safe
rice xylitol,None,Unknown,Safe
pepper sauce,None,Unknown,Safe
honigwein,None,Unknown,Safe
02mg,None,Unknown,Safe
dubliner cheese (pasteurized milk,None,Unknown,Safe
pulpe de fraise (40%),None,Unknown,Safe
griottes 65 g,None,Unknown,Safe
carbonates de sodium et d'ammonium,None,Unknown,Safe
pasteurised murciana goat's milk,None,Unknown,Safe
bacterial cultu,None,Unknown,Safe
orange juice powder (orange juice solids,None,Unknown,Safe
pollen en pelotes,None,Unknown,Safe
vitamin a palmi,None,Unknown,Safe
corn syrup propylene glycol,None,Unknown,Safe
tahimine mononitrate,None,Unknown,Safe
heating time should be reduced,None,Unknown,Safe
pecans (may contain nut shell fragments),None,Unknown,Safe
jus de veau lie (fecule de pomme de terre,None,Unknown,Safe
compote de pommes,None,Unknown,Safe
fpo,None,Unknown,Safe
vitamin b6 (pyrid,None,Unknown,Safe
organic pure cane sugar,None,Unknown,Safe
sunflower kernels (sunflower kernels,None,Unknown,Safe
sauteed mushrooms (mushrooms,None,Unknown,Safe
farbstoffe el 31 -el 50a,None,Unknown,Safe
organic soy lecitihin,None,Unknown,Safe
wheatgrass extract,None,Unknown,Safe
sour cream (cultured pasteurized grade a skim milk,None,Unknown,Safe
3% (zestes de citron vert,None,Unknown,Safe
sriracha seasoning (cane sugar,None,Unknown,Safe
maitere grasse de lait anhydre,None,Unknown,Safe
quinoa blanc),None,Unknown,Safe
jus de citron jaune et d'orange,None,Unknown,Safe
cooked turkey vegetable meatloaf (ground turkey,None,Unknown,Safe
natural hibiscus and orange peel,None,Unknown,Safe
z sel,None,Unknown,Safe
/cottonseed oil for passover,None,Unknown,Safe
eau)/ tomate 7%,None,Unknown,Safe
sel poivre,None,Unknown,Safe
glace au chocolat (35,None,Unknown,Safe
poires),None,Unknown,Safe
low moisture whole milk mozzarella cheese (pasteurized milk,None,Unknown,Safe
poudre de vigne rouge 42,None,Unknown,Safe
while wheat flour,None,Unknown,Safe
enriched flour (flour malted barley,None,Unknown,Safe
less than 2% of apple cider vinegar,None,Unknown,Safe
water flour,None,Unknown,Safe
pineapple (10%),None,Unknown,Safe
sauce worcestershire (contient du vinaigre de malt,None,Unknown,Safe
organic chocolate flakes (organic chocolate liquor,None,Unknown,Safe
contains less than 2% sweet cream buttermilk,None,Unknown,Safe
cioccolato 23%,None,Unknown,Safe
farine de riz 3,None,Unknown,Safe
tomatoe juices,None,Unknown,Safe
cultured pasteurized cow,None,Unknown,Safe
tomaten 9,None,Unknown,Safe
e472e),None,Unknown,Safe
soro esta embalagef de leite,None,Unknown,Safe
raw organic cacao,None,Unknown,Safe
banane (23%),None,Unknown,Safe
hydrogenated tallow with preservative (bht,None,Unknown,Safe
contains less than 2% soy sauce (water,None,Unknown,Safe
zuckerfreier kaugummi,None,Unknown,Safe
salt (3%),None,Unknown,Safe
50% fruits (25% cassis,None,Unknown,Safe
buter (9%),None,Unknown,Safe
sodium silicoaluminate,None,Unknown,Safe
thiamine hydrochldride,None,Unknown,Safe
avellanas (7%),None,Unknown,Safe
cacao maigre en poudre 1 %,None,Unknown,Safe
sauce cocktail 16% (eau,None,Unknown,Safe
poivres 4,None,Unknown,Safe
whey high fructose corn syrup,None,Unknown,Safe
mixed tocopherols (vitamin e to maintain freshness),None,Unknown,Safe
2 zuccheri 12,None,Unknown,Safe
vanilla) dry milk orange juice whey protein concentrate vanilla extract sea salt ascorbic ac,None,Unknown,Safe
erbsmehl,None,Unknown,Safe
farine deybli coriandre 5,None,Unknown,Safe
avoine)),None,Unknown,Safe
colors (turmeric paprika,None,Unknown,Safe
sel marin de camargue,None,Unknown,Safe
blue cheese powder (blue chee,None,Unknown,Safe
gousse de vanille (indien),None,Unknown,Safe
young green jackfruit (54%),None,Unknown,Safe
cultured pasterized grade a low fat milk,None,Unknown,Safe
flavour (contains wheat),None,Unknown,Safe
viande de porc dont jambon de porc (50)%),None,Unknown,Safe
chocolat en poudre (cacao,None,Unknown,Safe
acidifiant' larbonique,None,Unknown,Safe
/ cottonseed oil for passover,None,Unknown,Safe
black organic quinoa,None,Unknown,Safe
tagliatelles cuites 41,None,Unknown,Safe
whitefish (whitefish,None,Unknown,Safe
de raisin rouge 16%,None,Unknown,Safe
(contains flavor),None,Unknown,Safe
raisins '1 90,None,Unknown,Safe
cocoa (may be processed with alkali),None,Unknown,Safe
margarine (graisse de palme,None,Unknown,Safe
organic bla,None,Unknown,Safe
organic chicory organic ramon seeds,None,Unknown,Safe
halibut (hippoglossus stenolepis),None,Unknown,Safe
sunflower and rapeseed oils),None,Unknown,Safe
fettarmes kakaopulver 8%,None,Unknown,Safe
organic lactose,None,Unknown,Safe
cebola (4%),None,Unknown,Safe
carameli,None,Unknown,Safe
potassium chloride chicken fat,None,Unknown,Safe
sugar klibbigt ris,None,Unknown,Safe
jalapenos (with distilled vinegar,None,Unknown,Safe
pommes frites,None,Unknown,Safe
sucre liquide (2%),None,Unknown,Safe
piment 20%,None,Unknown,Safe
sorbanate,None,Unknown,Safe
gorgonzola 13%,None,Unknown,Safe
miso powder (fermented soybeans and salt),None,Unknown,Safe
carnauba wax (to prevent sticking),None,Unknown,Safe
fibre de pousses de bambou,None,Unknown,Safe
sucre de canne (9,None,Unknown,Safe
organic spirulina,None,Unknown,Safe
cooked wheat berries,None,Unknown,Safe
chestnut,None,Unknown,Safe
potato flares,None,Unknown,Safe
cafnageenan,None,Unknown,Safe
jus de cassis et groseille bio (3 %),None,Unknown,Safe
malt yeast,None,Unknown,Safe
uin blanc huile d'olive vierge extra (5%),None,Unknown,Safe
contains less than 2% of corn syrup solids,None,Unknown,Safe
29),None,Unknown,Safe
78 (origine ue),None,Unknown,Safe
milk solids non-fat,None,Unknown,Safe
red bean filling,None,Unknown,Safe
organic ground cinnamon,None,Unknown,Safe
viande de porc (dont jambon de porc 51%),None,Unknown,Safe
roasted cashews (monounsaturated sunflower oil,None,Unknown,Safe
vegetable oil (partially hydrogenated pal kernel and/or cottonseed oil,None,Unknown,Safe
antioxydant (e 307),None,Unknown,Safe
raisins 'secs il%,None,Unknown,Safe
romaine lettuce,None,Unknown,Safe
organic whole grain brown rice,None,Unknown,Safe
corn starch sodium stearoyl lactylate,None,Unknown,Safe
97%),None,Unknown,Safe
masa,None,Unknown,Safe
25% chocolate chips (50% cocoa mass,None,Unknown,Safe
farine de biscuits 2% (farine de froment,None,Unknown,Safe
13% champignons (champignons,None,Unknown,Safe
small red salvadorean beans,None,Unknown,Safe
framboise (10%),None,Unknown,Safe
leavening (sodium bicarbonate sodium aluminium sulfate,None,Unknown,Safe
spices (no preservatives,None,Unknown,Safe
racines de raifort,None,Unknown,Safe
banana puree (bananas ascorbic acid,None,Unknown,Safe
pulpe de noix de coco 3%,None,Unknown,Safe
pommes de terre 66%,None,Unknown,Safe
gree laver,None,Unknown,Safe
organic enriched flour (organic wheat flour,None,Unknown,Safe
partially hydrogenated palm kernel oil and/or soybean oil,None,Unknown,Safe
poudre de cacao maigre 1,None,Unknown,Safe
sweet perry orchards tropical 100% fruit peel-a-part concentrated apple puree and juice (contains ascorbic acid,None,Unknown,Safe
disodium inosinate and disodium guanylat,None,Unknown,Safe
mousse au cacao 65,None,Unknown,Safe
organic salted sake,None,Unknown,Safe
gelatin (extrac,None,Unknown,Safe
sulfur deoxide,None,Unknown,Safe
gluconic,None,Unknown,Safe
for ready-to-eat product flour (gluten),None,Unknown,Safe
huille de colza 7%,None,Unknown,Safe
shea) in,None,Unknown,Safe
caramelised cocoa nibs 8% ( cocoa nibs,None,Unknown,Safe
grenade 0,None,Unknown,Safe
gaurkernmehl und pektin,None,Unknown,Safe
fond de veau (fond de veau (os,None,Unknown,Safe
fumo),None,Unknown,Safe
natural flaovrs (maltodextrin),None,Unknown,Safe
autolyzed yeast extract flavoring,None,Unknown,Safe
stabilizer (grade a whey,None,Unknown,Safe
82%,None,Unknown,Safe
salt disodium phosphate,None,Unknown,Safe
5 g 153 kj,None,Unknown,Safe
yeast extract ),None,Unknown,Safe
bardane (14,None,Unknown,Safe
red bermuda onions,None,Unknown,Safe
canola oil (protected with antioxidants (e306,None,Unknown,Safe
chocolate (if marble or chocolate covered),None,Unknown,Safe
4% (sucre,None,Unknown,Safe
canaubawachs,None,Unknown,Safe
9% (lait),None,Unknown,Safe
all natural pure cane sugar,None,Unknown,Safe
soy lecithin,Soy,Emulsifier,Medium
dried organic spinach,None,Unknown,Safe
emulsifier (monoglycerides,None,Unknown,Safe
guar gum carrgeenan,None,Unknown,Safe
rice flour (72%),None,Unknown,Safe
natural che,None,Unknown,Safe
coconut (contains sodium metabisulphite as a preservative),None,Unknown,Safe
colorants( curcumine,None,Unknown,Safe
grana padano (lait de vache cru,None,Unknown,Safe
lactosa 1%,None,Unknown,Safe
emulslflanto (e471),None,Unknown,Safe
low moisture par skim mozzarella cheese (pasteurized part skim milk,None,Unknown,Safe
roasted salted cashe,None,Unknown,Safe
cacao maigre en poudre 14,None,Unknown,Safe
soy grits,None,Unknown,Safe
7 % (noisette,None,Unknown,Safe
sodium tripolyphosphate(to retain moisture),None,Unknown,Safe
s (50%),None,Unknown,Safe
tomat 11 %,None,Unknown,Safe
fumet de poisson (maltodextrine de pomme de terre,None,Unknown,Safe
horseradish extract,None,Unknown,Safe
pasta de avejjanas emulgente (lecitina de soja),None,Unknown,Safe
potassium sorbate (to maintain freshness),None,Unknown,Safe
natuurlijk aroma van vanille,None,Unknown,Safe
met suikers en zoetstof,None,Unknown,Safe
hagebutten),None,Unknown,Safe
trigo (19%),None,Unknown,Safe
poivrons piquillo 58%,None,Unknown,Safe
hamblokjes,None,Unknown,Safe
ail sel,None,Unknown,Safe
extrait naturel de romarin,None,Unknown,Safe
sel marin gris de table,None,Unknown,Safe
carotte (35,None,Unknown,Safe
pommes 53,None,Unknown,Safe
potiron 8,None,Unknown,Safe
sunflower oil 22%,None,Unknown,Safe
earl grey tea sriracha (chili,None,Unknown,Safe
arithine de 'ap),None,Unknown,Safe
maltodextrinei),None,Unknown,Safe
annatto extract added as color),None,Unknown,Safe
pois chiches 37%,None,Unknown,Safe
zeste de vitamines c,None,Unknown,Safe
organic mirepoix (onion,None,Unknown,Safe
organic quinoa seeds,None,Unknown,Safe
natural vitamin e,None,Unknown,Safe
fermenti lattici,None,Unknown,Safe
cantaloupe or peaches,None,Unknown,Safe
onions water,None,Unknown,Safe
extrait de levure ) sucre,None,Unknown,Safe
dehydrated garlic onion,None,Unknown,Safe
diacety,None,Unknown,Safe
chocolat noir 13 % (sucre,None,Unknown,Safe
white cranberry juice (water,None,Unknown,Safe
chocolate chips (chocolate liquor sugar,None,Unknown,Safe
fettarmer joghurt mit 1,None,Unknown,Safe
isomaltooligosaccharide (cassava root),None,Unknown,Safe
colors (b-carotene,None,Unknown,Safe
maltodextrin hydrolyzed soy protein,None,Unknown,Safe
citron (22% du sorbet,None,Unknown,Safe
yogurt magro in polvere 3% (equivalente a 20% di yogurt),None,Unknown,Safe
natural p,None,Unknown,Safe
less than 2 of enzymes,None,Unknown,Safe
modified corn starch (corn),None,Unknown,Safe
7% corrispondente a 1,None,Unknown,Safe
flabour (chicken flabour),None,Unknown,Safe
vitamine c ed e,None,Unknown,Safe
rennet and lactic acids),None,Unknown,Safe
farine de oeufs,None,Unknown,Safe
haydrogenated palm kernel oil,None,Unknown,Safe
filets maillants et similaires,None,Unknown,Safe
salted butter caramel (glucose syrup,None,Unknown,Safe
lauchpulver,None,Unknown,Safe
petit-lait (lait),None,Unknown,Safe
fargestoff (riboflavin,None,Unknown,Safe
fruit (blueberries and banana),None,Unknown,Safe
natursaitling,None,Unknown,Safe
palm kernel and/or palm 0il,None,Unknown,Safe
graines de couscous de 50%,None,Unknown,Safe
honig 1,None,Unknown,Safe
3 107 17 fe lot/lote,None,Unknown,Safe
and or vegetable,None,Unknown,Safe
lait en poudre 15%,None,Unknown,Safe
grean beans,None,Unknown,Safe
suar gum,None,Unknown,Safe
aprikose 40%,None,Unknown,Safe
pakistani pitted dates (rice flour),None,Unknown,Safe
salades (36%) (laitue,None,Unknown,Safe
huile vegetrle non hydrogenee (tournesol,None,Unknown,Safe
organic monukka raisins,None,Unknown,Safe
russie,None,Unknown,Safe
french custard base,None,Unknown,Safe
weekderen,None,Unknown,Safe
crevettes 17 %,None,Unknown,Safe
sweet cream powder,None,Unknown,Safe
thon (5%),None,Unknown,Safe
extrait de vanille biologique (15%),None,Unknown,Safe
mycoprotein (41%),None,Unknown,Safe
tomates cerise 12%,None,Unknown,Safe
concentrated vanilla extract with seeds (47%,None,Unknown,Safe
organic lemon juice concentrate ascorbic acid (vitamin c),None,Unknown,Safe
levain de ble,None,Unknown,Safe
(fish free),None,Unknown,Safe
mango topping (water,None,Unknown,Safe
low fat cocoa powd,None,Unknown,Safe
filets de maquereaux 44%,None,Unknown,Safe
petits pois,None,Unknown,Safe
sauce soja (sel,None,Unknown,Safe
fedtfattig kakaopulver,None,Unknown,Safe
unbleached pastry flour,None,Unknown,Safe
pizza crust (wheat flour,None,Unknown,Safe
sulfur dioxide for color retention,None,Unknown,Safe
4%/ sel,None,Unknown,Safe
sucre de canna,None,Unknown,Safe
non-gmo citric acid (from beet sugar - not corn),None,Unknown,Safe
joghurt aus vollmilch mit 3,None,Unknown,Safe
black truffle (tuber aestivum vitt),None,Unknown,Safe
cyanocobalamin,None,Unknown,Safe
tbhq and citric acid as preservatives,None,Unknown,Safe
freeze-dried cooked po,None,Unknown,Safe
sirop de glucose0,None,Unknown,Safe
cocoa powder processed,None,Unknown,Safe
lait cru de vache,None,Unknown,Safe
kan sporen van,None,Unknown,Safe
emufgator (sojalecithin),None,Unknown,Safe
kichererbsen 25%,None,Unknown,Safe
pectic,None,Unknown,Safe
apple puree),None,Unknown,Safe
piment 78% ail 18% sel,None,Unknown,Safe
cheese culture) salt,None,Unknown,Safe
olives vertes (sel),None,Unknown,Safe
sucre brut de canne (11%),None,Unknown,Safe
lavend,None,Unknown,Safe
vin d'alsace,None,Unknown,Safe
6% (chou blanc,None,Unknown,Safe
polme de alperce,None,Unknown,Safe
biologische teemischung aus zutaten ethischer herkunft,None,Unknown,Safe
spezia),None,Unknown,Safe
rode paprika en tomaten,None,Unknown,Safe
foie gras de canard cru extra,None,Unknown,Safe
olives vertes manzanilla 87 % (olives,None,Unknown,Safe
7 % (manchon et cuisse de canard),None,Unknown,Safe
gluten)),None,Unknown,Safe
chili sauce (aged red peppers,None,Unknown,Safe
anneaux d'encornets (20%)),None,Unknown,Safe
pork spareribs in boar's head gourmet barbecue sauce (water,None,Unknown,Safe
yogurt (milk ingredients,None,Unknown,Safe
pansette de veau et d'agneau,None,Unknown,Safe
boissons spiritueuses,None,Unknown,Safe
di terre,None,Unknown,Safe
blueberry flakes (blueberries,None,Unknown,Safe
organic sun-dried apricots,None,Unknown,Safe
extrait de quinquina (contient quinine),None,Unknown,Safe
morceaux de chocolat 7 % (sucre,None,Unknown,Safe
vegetable oil (sunflower and olive oil),None,Unknown,Safe
(d'e2levage en plein air suisse),None,Unknown,Safe
whey solids (milk),None,Unknown,Safe
100% coconut juice with pulp,None,Unknown,Safe
orange juice concentrate anchor chile,None,Unknown,Safe
sucp 10,None,Unknown,Safe
ali en poudre,None,Unknown,Safe
ingredients-almonds,None,Unknown,Safe
artificial hibiscus flavor,None,Unknown,Safe
cacao en poudre 32 %),None,Unknown,Safe
51% sel,None,Unknown,Safe
chocolat (3%),None,Unknown,Safe
corn and tapioca maltodextrin,None,Unknown,Safe
tapica,None,Unknown,Safe
jarret de porc,None,Unknown,Safe
pecans (roasted in peanut and/or cottonseed oil,None,Unknown,Safe
oeufs de lompe (cyclopterus lumpus) 84 %,None,Unknown,Safe
parmesan (milk,None,Unknown,Safe
pretzel bun,None,Unknown,Safe
brightening agent,None,Unknown,Safe
sel 4,None,Unknown,Safe
organic raw pumpkin seeds organic sunflower seeds,None,Unknown,Safe
tom yum flavor (fried chilli flavour,None,Unknown,Safe
potassium sorbate and sorbic acid and sodium propionate (preservatives),None,Unknown,Safe
tripes cuites 57%,None,Unknown,Safe
ebi shrimp (shrimp,None,Unknown,Safe
rote peperoni,None,Unknown,Safe
distilled alcohol,None,Unknown,Safe
roasted diced almonds,None,Unknown,Safe
roasted almonds 20%,None,Unknown,Safe
stabilizers (carob bean and/or xanthan and/or guar gum)),None,Unknown,Safe
vitamin b3 (niacin),None,Unknown,Safe
cornflour),None,Unknown,Safe
lactic acid starter erythorbate,None,Unknown,Safe
vin blanc (17%) (avec sulfites),None,Unknown,Safe
c04 9qx,None,Unknown,Safe
dried celery dried bell peppers,None,Unknown,Safe
organic pineapple juice concentrate calcium citrate mialte ascorbic acid,None,Unknown,Safe
baby topped carrots,None,Unknown,Safe
spice extract(red pepper),None,Unknown,Safe
2% (solrosolja,None,Unknown,Safe
maltodextrose,None,Unknown,Safe
color a,None,Unknown,Safe
yellow 5 and yellow 6(,None,Unknown,Safe
framboos 0,None,Unknown,Safe
lait entier 62%,None,Unknown,Safe
seiche,None,Unknown,Safe
of whi(h saturated fatty acids 20 g,None,Unknown,Safe
granola mix (wheat,None,Unknown,Safe
whole buckwheat,None,Unknown,Safe
extrait de citron,None,Unknown,Safe
extrait de basilic),None,Unknown,Safe
spices and spice extractives including extract of paprika,None,Unknown,Safe
apple acid,None,Unknown,Safe
and ca,None,Unknown,Safe
vanille bourbon en poudre,None,Unknown,Safe
honey roasted turkey breast (turkey breast,None,Unknown,Safe
organic roasted coffee and organic tapioca maltodextrin de-10),None,Unknown,Safe
gluten-free whole grain rolled oats,None,Unknown,Safe
bumped brown rice (brown rice,None,Unknown,Safe
aubergines 10%,None,Unknown,Safe
organic annatto (for color),None,Unknown,Safe
